taxon;age;details;formal_substage_or_regional_stage;species;notes;max;min;midpoint;locality;stratigraphy;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cosmoptychius_striatus;Visean;"late Visean (Arthurs Seat Frm: 335.5; nodosa base: 331.8)";;;;335	5;331	8;333	65;Wardie	 Edinburgh	 Scotland;Wardie Shales Member	 Gullane Formation ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cuneognathus_gardineri;Famennian;;;Retispora lepidophyta miospore zone;;360	2;359	3;359	75;Celsius Bjerg	 Ymer Ø	 East Greenland;Obrutschew Bjerg Formation;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cyranorhis_bergeraci;Serpukhovian;late Serpukhovian;Namurian e2b = lower Arnsbergian;;;327;323	6;325	3;southwest of Becket	 Fergus County	 Montana	 USA;Bear Gulch Limestone Member	 Heath Formation	 Big Snowy Group;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dandya_ovalis;Norian;late Norian;Alaunian;;;214	2;217	5;215	85;Lombardy (several localities in Bergamo)	 Italy;Zorzino Limestone Formation	 Aralalta Group;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dapedium_ashley;Rhaetian;;;;base of Rhaetian based on oldest candidate (Austrian GSSP);209	5;201	4;205	45;Schesaplana Mountain	 Canton Grisons/Graubünden	 Switzerland;Kossen Formation	 lowest part of the Alplihorn Member;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dapedium_caelatum;Toarcian;early Toarcian;Alaunian;Falcifer ammonoid zone;;183	1;181	1;182	1;Quarries near Ohmden and Holzmaden	 Baden Wuerttemberg	 South Germany;Posidonia Shale ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dapedium_LIAS;Sinemurian;lower Sinemurian;lower Sinemurian;;;199	5;196	4;197	95;Lyme Regis	 Dorset	 England;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dapedium_noricum;Norian;late Norian;;;;214	2;217	5;215	85;"Lombardy (several localities in Bergamo); Salzberg	 Hallein	 Austria";upper part of the Zorzino Limestone Formation	 Aralalta Group;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dapedium_pholidotum;Toarcian;early Toarcian;;Dactylioceras tenuicostatum	 Harpoceras falciferum	 Hildoceras bifrons ammonoid zone;;184	2;179	9;182	05;"South Germany; France; Luxembourg";Posidonia Shale;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dapedium_punctatum;Sinemurian;lower Sinemurian;lower Sinemurian; ;;199	5;196	4;197	95;Lyme Regis	 Dorset	 England;Lower Lias;;;;;;;;;;;;;;;;;;;;;;;;;;;;
