taxon;max;min;stg;;;;;;;
Ozarcus_mapesae;335,6;323,4;Visean-Serpukhovian;;;;;;;
Paradapedium_egertoni;184,2;170,9;Toarcian-Aalenian;;;;;;;
Peltopleurus_lissocephalus;243,3;241,5;Anisian;;;;;;;
Platysomus_superbus;342;332,5;Visean;;;;;;;
Polypterus_bichir;0;0;Holocene;;;;;;;
Porolepis_sp.;412,4;394,3;Pragian-Emsian;;;;;;;
Propterus_elongatus;149,2;145;Tithonian;;;;;;;
Psarolepis_romeri;419;412,4;Lochkovian;;;;;;;
Pteronisculus_stensioi;251,9;250,5;Induan;;;;;;;
Raynerius_splendens;370,9;370,7;Famennian;;;;;;;
Sargodon_tomicus;227,3;201,36;Norian-Rhaetian;;;;;;;
Saurichthys_madagascarensis;250,5;248,1;Induan-Olenekian;;;;;;;
Scanilepis_dubia;209,5;201,4;Rhaetian;;;;;;;
Semionotus_elegans;201,4;192,9;Hettangian-Sinemurian;;;;;;;
Stegotrachelus_finlayi;380,3;378,9;Givetian;;;;;;;
Styloichthys_changae;419;412,4;Lochkovian;;;;;;;
Styracopterus_fulcratus;340;336;Visean;;;;;;;
Tanaocrossus_kalliokoskii;237;233,6;Carnian;;;;;;;
Tegeolepis_clarki;363,4;360,1;Famennian;;;;;;;
Tetragonolepis_oldhami;184,2;170,9;Toarcian-Aalenian;;;;;;;
Tetragonolepis_semicincta;184,2;179,9;Toarcian;;;;;;;
Venusichthys_comptus;243,4;244;Anisian;;;;;;;
Watsonulus_eugnathoides;250,5;248,1;Induan-Olenekian;;;;;;;
Wendyichthys_dicksoni;326;325;Serpukhovian;;;;;;;
Woodichthys_bearsdeni;330,3;327;Serpukhovian;;;;;;;
