Iteration	Posterior	Likelihood	Prior	alpha_morpho	branch_rates	diversification	extinction_rate	fossil_samp_rate	num_samp_anc	origin_time	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	speciation_rate	turnover
350	-11319.08	-9601.541	-1717.536	306729.1	0.002482106	0.003202099	0.04070204	0.03177329	4	499.0954	0.997706	0.999413	1.00059	1.0023	0.04390414	0.9270661
360	-11308.99	-9589.834	-1719.155	490495.2	0.002473295	-0.002181277	0.05135956	0.02330879	4	498.7547	0.998186	0.999536	1.00046	1.00182	0.04917828	1.044354
370	-11297.46	-9582.569	-1714.888	566740.6	0.002479705	0.002714361	0.03417037	0.03314447	4	497.081	0.998312	0.999568	1.00043	1.00169	0.03688473	0.9264096
380	-11311.02	-9590.067	-1720.952	763640.7	0.002384184	-0.00220167	0.04979404	0.03271533	4	498.3888	0.998546	0.999628	1.00037	1.00145	0.04759237	1.046261
390	-11296.38	-9581.281	-1715.102	509820.3	0.002464027	0.003047014	0.04211882	0.03306084	6	498.7679	0.99822	0.999545	1.00045	1.00178	0.04516583	0.9325372
400	-11286.86	-9574.945	-1711.91	666365.8	0.002384112	0.001927069	0.04131702	0.02814232	8	498.5588	0.998443	0.999602	1.0004	1.00156	0.04324408	0.9554374
410	-11291.57	-9577.429	-1714.143	728666.8	0.002387884	-0.001437685	0.05072543	0.0237285	8	497.4524	0.998511	0.999619	1.00038	1.00149	0.04928774	1.029169
420	-11294.56	-9557.371	-1737.184	763553.7	0.00245174	-0.004986807	0.04915462	0.02960049	3	498.1395	0.998546	0.999628	1.00037	1.00146	0.04416781	1.112906
430	-11285.23	-9553.978	-1731.25	264990.8	0.002373394	0.001815854	0.04550701	0.02845686	3	498.9572	0.997532	0.999368	1.00063	1.00247	0.04732287	0.9616284
440	-11280.05	-9552.203	-1727.844	259286	0.002453715	0.006310226	0.03382553	0.03372845	5	497.8899	0.997505	0.999361	1.00064	1.0025	0.04013575	0.8427779
450	-11274.35	-9543.598	-1730.751	455474.7	0.0023046	0.004148167	0.03842496	0.02809603	5	499.0489	0.998117	0.999518	1.00048	1.00188	0.04257313	0.9025637
460	-11273.39	-9535.75	-1737.638	624418.2	0.002349907	0.00555192	0.03080363	0.02897435	5	498.129	0.998392	0.999589	1.00041	1.00161	0.03635555	0.8472883
470	-11272.95	-9539.239	-1733.714	423681.2	0.002276768	0.002574016	0.03708288	0.0263119	5	498.6122	0.998048	0.999501	1.0005	1.00195	0.03965689	0.9350929
480	-11262.2	-9528.845	-1733.355	687476.8	0.00239159	0.001536627	0.04117303	0.02996403	5	496.7119	0.998467	0.999608	1.00039	1.00153	0.04270966	0.9640215
490	-11271.42	-9540.851	-1730.571	946986.3	0.002304028	0.005043006	0.03705738	0.0280362	5	495.8431	0.998694	0.999666	1.00033	1.00131	0.04210039	0.8802147
500	-11248.85	-9543.768	-1705.085	621928.2	0.002293635	0.008278355	0.03838087	0.03036678	11	496.4459	0.998389	0.999588	1.00041	1.00161	0.04665922	0.8225784
510	-11267.57	-9545.234	-1722.331	632462.2	0.002215963	-7.910993e-05	0.03497841	0.02650923	8	495.9587	0.998402	0.999591	1.00041	1.0016	0.0348993	1.002267
520	-11255.22	-9527.854	-1727.362	184975	0.002318977	0.001605259	0.03453198	0.03136037	5	495.4687	0.997046	0.999244	1.00075	1.00296	0.03613724	0.9555788
530	-11246.35	-9529.437	-1716.914	117889.6	0.002417197	0.005745768	0.042558	0.02668471	6	494.9064	0.9963	0.999052	1.00094	1.0037	0.04830377	0.8810493
540	-11228.02	-9516.926	-1711.09	80452.85	0.002272877	0.004209019	0.03582693	0.02947496	7	495.5713	0.995522	0.998852	1.00114	1.00448	0.04003595	0.894869
